Source ID,Name,Random_number, RA (deg),DEC (deg),parallax (mas),pmra(masyr),pmdec (mas(yr),phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,M_g,U (km/s),V (km/s),W (km/s),Ilabel (0=thin.1=thick.2=halo)
Gaia DR2 1465092887460185600,J124836.26+294229.9,977538555,192.151087,29.70832384,15.60314099,-75.47458553,-121.3682556,17.591183,17.794153,17.239527,0.55462646,0.2029705,0.35165596,13.55724287,6.521083175,-32.79680768,7.906386749,0
Gaia DR2 1304081783374935680,J162659.54+253327.7,349275650,246.7481384,25.55766613,11.88575961,-28.15193839,52.33609374,17.620253,17.58624,17.653025,-0.066783905,-0.03401184,-0.032772064,12.99538732,-13.83873425,15.67375488,18.4363901,0
Gaia DR2 1537203704733382016,J120327.60+420601.4,422431555,180.8650131,42.10037321,12.92992234,105.6470778,-97.33303298,18.456087,18.787931,17.943293,0.8446388,0.33184433,0.5127945,14.0140667,54.23484218,-3.320952846,22.41854963,0
Gaia DR2 6860084802130167936,J203304.94-192832.2,786437324,308.2706302,-18.52443105,11.39978905,-66.19709242,-71.14530903,19.004074,19.2401,18.495304,0.74479675,0.23602676,0.50877,14.28855817,29.524926,-19.60843546,19.42738147,0
Gaia DR2 4617812054837799168,J004922.90-842604.6,417418860,12.34535657,-83.56542261,18.11921938,57.92837203,-191.599406,18.808556,19.302841,18.103247,1.1995945,0.49428558,0.7053089,15.09925302,7.936792742,-21.08974055,48.14831221,0
Gaia DR2 4328491474251777536,J161821.98-165944.5,854063178,244.5916531,-15.00430987,10.41499379,88.55911217,-52.30431177,18.125853,18.31249,17.81785,0.49464035,0.18663788,0.30800247,13.21414766,25.22663227,17.93703291,-35.54907105,0
Gaia DR2 455517329408362752,J022111.02+533329.9,554699353,35.29587132,53.55824552,34.70290731,-275.6453737,-45.65674324,16.167198,16.356354,15.791603,0.5647507,0.18915558,0.3755951,13.86902748,30.68485894,32.98740994,-12.10677088,0
Gaia DR2 2719202554545815808,J224955.70+114106.0,1564891438,342.4820999,11.68503215,10.4119191,-39.50798879,-65.25355298,17.428553,17.39105,17.342094,0.048955917,-0.03750229,0.086458206,12.51620655,36.62388793,-2.536828243,-3.290870271,0
Gaia DR2 2918665577420228480,J064428.61-292720.5,411012041,101.1191612,-28.54433043,15.43318871,-112.8463799,-98.25330154,16.440708,16.49582,16.289804,0.20601463,0.05511093,0.1509037,12.38298649,23.32921524,12.29708074,-36.0342758,0
Gaia DR2 4001074538044978816,J120435.26+231605.9,872995961,181.146944,23.26825577,17.77185097,-140.0846762,-143.1729303,18.631315,19.122963,17.981865,1.141098,0.49164772,0.6494503,14.87997854,-8.523530054,-39.91440466,-3.101548663,0
Gaia DR2 1586838374030594048,J145238.95+452239.0,32790133,223.1622543,45.3775472,10.68984429,-54.11105047,69.8358372,19.52307,19.75709,18.909273,0.84781647,0.23402023,0.61379623,14.66792628,-32.96535198,12.19011474,10.25792812,0
Gaia DR2 6118079453145005312,J141421.26-372935.5,1047982849,213.588604,-36.50676528,28.3611357,-159.3570779,-257.5385359,17.609589,18.102757,17.00284,1.0999165,0.49316788,0.6067486,14.87320671,-9.3764583,-28.15909958,-22.20359906,0
Gaia DR2 1454347089739329152,J140644.35+313025.6,371646808,211.684803,31.50715283,25.35811382,-215.3281966,198.0930053,17.986164,18.50812,17.30819,1.1999302,0.5219555,0.6779747,15.00674883,-47.81752903,12.11534409,16.15436283,0
Gaia DR2 2036664558236934272,J191520.02+280409.8,1105225128,288.8333941,28.06936989,10.33266455,18.00409039,-67.21621752,18.896713,19.070726,18.602137,0.46858978,0.17401314,0.29457664,13.96777491,28.14625298,1.374279963,-14.5634429,0
Gaia DR2 755466845943050368,J103421.74+394927.5,1115386286,158.5905945,39.82433591,14.98185287,39.38919244,-44.17054348,19.81286,20.040438,19.385044,0.6553936,0.22757721,0.4278164,15.69068813,19.18156736,-0.075607503,14.43471873,0
Gaia DR2 479361471706115968,J050125.27+642940.6,603335193,75.35530794,64.49460886,10.315785,-26.90531432,-66.10497942,18.451344,18.551468,18.212395,0.33907318,0.10012436,0.23894882,13.51885495,-9.147208234,-0.244640517,-20.4937878,0
Gaia DR2 3767767069803057024,J101744.50-114600.5,365213745,154.4354092,-10.23325167,10.94895339,-105.903715,6.636673927,17.10236,17.16554,16.988008,0.1775322,0.06318092,0.11435127,12.29922281,-32.75005507,3.763710786,-17.21632921,0
Gaia DR2 439872275371188608,J031146.37+512747.5,239112631,47.94318588,51.46317002,11.41787241,-116.8003562,-55.99862949,18.556557,18.768059,17.965664,0.80239487,0.21150208,0.5908928,13.84448263,26.94336313,32.03377441,-38.15662754,0
Gaia DR2 3293451020735654272,J043902.50+092816.7,673527577,69.76043033,9.471326042,13.106726,66.36519573,-72.12114432,17.108715,17.112373,16.990025,0.122348785,0.003658295,0.11869049,12.69618616,8.832708249,-24.49946802,10.57774018,0
Gaia DR2 3234960571255236096,J051232.02+023237.7,628774891,78.13340399,2.543784922,10.50797766,-21.7301265,-77.05698111,18.703728,18.898365,18.39338,0.5049858,0.1946373,0.3103485,13.81132343,22.70127836,-10.21988457,-17.83524436,0
Gaia DR2 3910941183300119808,J113624.07+080215.0,1423515816,174.1003499,8.037468903,20.27501415,-192.0120198,-116.4347762,17.859459,18.189167,17.222294,0.96687317,0.3297081,0.63716507,14.39426475,-20.34989455,-29.16568064,-15.43343026,0
Gaia DR2 6338250987245771776,J144249.90-041818.4,463918300,220.7079364,-3.694898256,10.05747577,-45.91524215,-70.07390768,19.257563,19.561111,18.840223,0.72088814,0.3035488,0.41733932,14.27000761,7.091670466,-28.1132564,-1.20684046,0
Gaia DR2 4617180935163192320,J021351.98-840339.6,687705100,33.46661009,-83.93904054,10.0458905,73.51696316,68.38775576,16.031952,15.946805,16.16403,-0.21722507,-0.085146904,-0.13207817,11.0418941,-36.8024145,-3.825342279,-7.812712305,0
Gaia DR2 1134097899899377536,J101934.94+805241.2,922006856,154.8955551,80.87805859,11.72533845,-97.01916791,-23.97828037,19.134031,19.400955,18.594378,0.8065777,0.2669239,0.5396538,14.47965823,-28.26519665,-4.214500125,-8.959835887,0
Gaia DR2 1182083542272959232,J150038.04+134300.5,265934826,225.1584556,13.71678492,14.55909299,-114.2259201,-84.55094969,19.023382,19.420504,18.3974,1.0231037,0.39712143,0.6259823,14.83905379,1.775842084,-34.29079587,16.90281466,0
